"domain_dbc","message_name","old_id_hex","old_id_dec","new_tier","new_group","new_index","new_id_hex","new_id_dec","priority_class","owner_ecu","flow_ref","comm_ref","var_ref","code_ref","test_ref","impact_note","status","approver","approved_date"
"infotainment_can.dbc","frmHmiPopupStateMsg","0x227","551","2","4","7","0x287","647","Medium","IVI_GW","0302_NWflowDef.md::frmHmiPopupStateMsg","0303_Communication_Specification.md::frmHmiPopupStateMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmInfotainmentHealthMsg","0x228","552","2","4","8","0x288","648","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmInfotainmentHealthMsg","0303_Communication_Specification.md::frmInfotainmentHealthMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmTestResultMsg","0x230","560","2","5","5","0x2A5","677","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmTestResultMsg","0303_Communication_Specification.md::frmTestResultMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmBaseTestResultMsg","0x231","561","2","5","6","0x2A6","678","Medium","VAL_BASELINE_CTRL","0302_NWflowDef.md::frmBaseTestResultMsg","0303_Communication_Specification.md::frmBaseTestResultMsg","","canoe/cfg/channel_assign/Chassis/VAL_BASELINE_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"eth_backbone_can_stub.dbc","frmEmergencyMonitorMsg","0x232","562","1","6","2","0x1C2","450","High","EMS_ALERT_RX","0302_NWflowDef.md::frmEmergencyMonitorMsg","0303_Communication_Specification.md::frmEmergencyMonitorMsg","","canoe/cfg/channel_assign/ETH_Backbone/EMS_ALERT_RX.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmHvacStateMsg","0x240","576","2","3","10","0x26A","618","Medium","BODY_GW","0302_NWflowDef.md::frmHvacStateMsg","0303_Communication_Specification.md::frmHvacStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmHvacActuatorMsg","0x241","577","2","3","11","0x26B","619","Medium","BODY_GW","0302_NWflowDef.md::frmHvacActuatorMsg","0303_Communication_Specification.md::frmHvacActuatorMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmMirrorStateMsg","0x242","578","2","3","12","0x26C","620","Medium","BODY_GW","0302_NWflowDef.md::frmMirrorStateMsg","0303_Communication_Specification.md::frmMirrorStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmSeatStateMsg","0x243","579","2","3","13","0x26D","621","Medium","DRV_STATE_MGR","0302_NWflowDef.md::frmSeatStateMsg","0303_Communication_Specification.md::frmSeatStateMsg","","canoe/cfg/channel_assign/Body/DRV_STATE_MGR.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmSeatControlMsg","0x244","580","2","3","14","0x26E","622","Medium","DRV_STATE_MGR","0302_NWflowDef.md::frmSeatControlMsg","0303_Communication_Specification.md::frmSeatControlMsg","","canoe/cfg/channel_assign/Body/DRV_STATE_MGR.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmDoorControlMsg","0x245","581","2","3","15","0x26F","623","Medium","WINDOW_CTRL","0302_NWflowDef.md::frmDoorControlMsg","0303_Communication_Specification.md::frmDoorControlMsg","","canoe/cfg/channel_assign/Body/WINDOW_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmInteriorLightMsg","0x246","582","2","3","16","0x270","624","Medium","AMBIENT_CTRL","0302_NWflowDef.md::frmInteriorLightMsg","0303_Communication_Specification.md::frmInteriorLightMsg","","canoe/cfg/channel_assign/Body/AMBIENT_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmRainLightAutoMsg","0x247","583","2","3","17","0x271","625","Medium","AMBIENT_CTRL","0302_NWflowDef.md::frmRainLightAutoMsg","0303_Communication_Specification.md::frmRainLightAutoMsg","","canoe/cfg/channel_assign/Body/AMBIENT_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmBcmDiagReqMsg","0x248","584","2","3","18","0x272","626","Medium","BODY_GW","0302_NWflowDef.md::frmBcmDiagReqMsg","0303_Communication_Specification.md::frmBcmDiagReqMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmBcmDiagResMsg","0x249","585","2","3","19","0x273","627","Medium","AMBIENT_CTRL","0302_NWflowDef.md::frmBcmDiagResMsg","0303_Communication_Specification.md::frmBcmDiagResMsg","","canoe/cfg/channel_assign/Body/AMBIENT_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmImmobilizerStateMsg","0x24A","586","2","3","20","0x274","628","Medium","BODY_GW","0302_NWflowDef.md::frmImmobilizerStateMsg","0303_Communication_Specification.md::frmImmobilizerStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmAlarmStateMsg","0x24B","587","2","3","21","0x275","629","Medium","BODY_GW","0302_NWflowDef.md::frmAlarmStateMsg","0303_Communication_Specification.md::frmAlarmStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmBodyGatewayStateMsg","0x24C","588","2","3","22","0x276","630","Medium","BODY_GW","0302_NWflowDef.md::frmBodyGatewayStateMsg","0303_Communication_Specification.md::frmBodyGatewayStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmBodyComfortStateMsg","0x24D","589","2","3","23","0x277","631","Medium","BODY_GW","0302_NWflowDef.md::frmBodyComfortStateMsg","0303_Communication_Specification.md::frmBodyComfortStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmAudioFocusMsg","0x260","608","2","4","9","0x289","649","Medium","IVI_GW","0302_NWflowDef.md::frmAudioFocusMsg","0303_Communication_Specification.md::frmAudioFocusMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmVoiceAssistStateMsg","0x261","609","2","4","10","0x28A","650","Medium","IVI_GW","0302_NWflowDef.md::frmVoiceAssistStateMsg","0303_Communication_Specification.md::frmVoiceAssistStateMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmMapRenderStateMsg","0x262","610","2","4","11","0x28B","651","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmMapRenderStateMsg","0303_Communication_Specification.md::frmMapRenderStateMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmRouteAlertMsg","0x263","611","2","4","12","0x28C","652","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmRouteAlertMsg","0303_Communication_Specification.md::frmRouteAlertMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmTrafficEventMsg","0x264","612","2","4","13","0x28D","653","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmTrafficEventMsg","0303_Communication_Specification.md::frmTrafficEventMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmPhoneProjectionMsg","0x265","613","2","4","14","0x28E","654","Medium","IVI_GW","0302_NWflowDef.md::frmPhoneProjectionMsg","0303_Communication_Specification.md::frmPhoneProjectionMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmClusterNotifMsg","0x266","614","2","4","15","0x28F","655","Medium","IVI_GW","0302_NWflowDef.md::frmClusterNotifMsg","0303_Communication_Specification.md::frmClusterNotifMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmIviDiagReqMsg","0x267","615","2","5","7","0x2A7","679","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmIviDiagReqMsg","0303_Communication_Specification.md::frmIviDiagReqMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmIviDiagResMsg","0x268","616","2","4","16","0x290","656","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmIviDiagResMsg","0303_Communication_Specification.md::frmIviDiagResMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmMediaMetaMsg","0x269","617","2","4","17","0x291","657","Medium","IVI_GW","0302_NWflowDef.md::frmMediaMetaMsg","0303_Communication_Specification.md::frmMediaMetaMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmSpeechTtsStateMsg","0x26A","618","2","4","18","0x292","658","Medium","IVI_GW","0302_NWflowDef.md::frmSpeechTtsStateMsg","0303_Communication_Specification.md::frmSpeechTtsStateMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
